country_code,raised_amount_usd
USA,669482.1238210006
CHN,75703.56579600007
GBR,32767.048060000026
IND,27686.33656000001
CAN,18424.675109000025
RUS,11279.120120000003
DEU,10017.76374
ISR,9713.884650000002
FRA,9059.77075700001
